Division,Placement,Skipper,Team,Total Score
B,1,Sean Andrew '11,University of Connecticut,19
B,2,Erin Kestenbaum '10 *,Tufts University,24
B,3,Ben Greenfield '11,Boston University,31
B,4,Colin Santangelo '11,Harvard University,33
B,5,Michael Levy '?? *,Trinity College,36
B,6,Katherine McNeil '12,Bowdoin College,37
B,7,Tevis Nichols '12,Massachusetts Institute of Technology,43
B,8,Marisa Egan '11,Salve Regina University,48
B,9,John Work '12,Tufts University,52
B,10,Jillian Reddy '11,Massachusetts Institute of Technology,55
B,11,Cameron Calahan '11 *,University of Vermont,62
B,12,Dan Wittstein '12,Northeastern University,67
B,13,Mark Abraao York '12,McGill University,77
B,14,Lauren McGraw '11,Wellesley College,80
B,15,Jesse Hamilton '10 *,University of Massachusetts at Boston,82
B,16,John Wehner '18,Northeastern University,85
B,17,Matt Fili '?? *,Bentley University,98
B,18,Brian Laurita '?? *,Endicott College,102
B,19,Colin Krirk '?? *,University of New Hampshire,109
