Division,Placement,Skipper,Team,Total Score
C,1,Alex Takata '12,Bowdoin College,87
C,2,Christopher DeCollibus '09 *,University of Rhode Island,93
C,3,Ian Oviatt '10 *,U. S. Coast Guard Academy,113
C,4,Martim Anderson '18,Roger Williams University,117
C,5,Adrian Law '17,Boston University,120
C,6,Avery Brooks '10 *,Boston College,123
C,7,Genoa Warner '12,Yale University,133
C,8,Benjamin Bier '10 *,Dartmouth College,134
C,9,Gregg Griffin '11,University of New Hampshire,134
C,10,Eric Decesar '11,Salve Regina University,144
C,11,Connor Aswad '12 *,University of Vermont,151
C,12,Daniel Altreuter '09 *,Tufts University,161
C,13,Charles Bernstein '12,Massachusetts Institute of Technology,178
C,14,Colin Santangelo '11,Harvard University,188
C,15,Chris Colbeth '20,Northeastern University,213
C,16,Sally Lloyd '15 *,Maine Maritime Academy,255
C,17,Benjamin MacNeil '10 *,University of Massachusetts at Boston,257
