Division,Placement,Skipper,Team,Total Score
B,1,Colin Smith '13,Brown University,31
B,2,Bo McClatchy '13,Dartmouth College,51
B,3,Ryan Mullins '13,Boston College,52
B,4,David Harrison '13,University of South Florida,60
B,5,Haley Powell '13,Roger Williams University,60
B,6,Timothy Clark '13,Connecticut College,60
B,7,Katherine Doble '13,Bowdoin College,64
B,8,Albert Nichols '13,Tufts University,66
B,9,Henry Blanchette '13,Tufts University,79
B,10,Matthew Russell '13,Tufts University,84
B,11,Michael Sturges '13,University of Vermont,90
B,12,Steven Drapcho '13,Massachusetts Institute of Technology,102
B,13,Chloe McDonald '13,Boston University,116
B,14,Evelyn Hull '13,University of Michigan,135
