Division,Placement,Skipper,Team,Total Score
B,1,Joseph Morris '12,Yale University,81
B,2,Scott Furnary '11,Georgetown University,94
B,3,Coleman Bowen '11,University of Vermont,96
B,4,Steven Barbano '11 *,College of Charleston,98
B,5,William Brown '10 *,Brown University,100
B,6,Ben Quatromoni '10 *,University of Rhode Island,107
B,7,Frederick Whitman '11,St. Mary's College of Maryland,107
B,8,Patrick Clancy '10,Salve Regina University,110
B,9,Sean Bouchard '12,Roger Williams University,112
B,10,Robert Willis '09 *,Connecticut College,112
B,11,Matt Lawler '13,Washington College,116
B,12,Philip Crain '13,Massachusetts Institute of Technology,117
B,13,Tedd Himler '11,Harvard University,122
B,14,Massimo Soriano '12,Tufts University,127
B,15,Ian Oviatt '10 *,U. S. Coast Guard Academy,142
B,16,Matthew Cohen '10 *,Dartmouth College,154
B,17,Cara Vavolotis '10 *,Eckerd College,163
B,18,Shawn Murray '12,SUNY Maritime College,171
B,19,Mathew Renik '19,Boston University,179
B,20,Mary Gamber '11,Princeton University,214
