Division,Placement,Skipper,Team,Total Score
B,1,Sean Bouchard '12,Roger Williams University,45
B,2,Nicolas Russo-Larsson '12,Tufts University,60
B,3,Solomon Tarlin '17,Boston University,67
B,4,Tedd Himler '11,Harvard University,70
B,5,Patrick Clancy '10,Salve Regina University,72
B,6,Rob Struckett '12,Yale University,81
B,7,Matthew Carmody '11,University of Rhode Island,98
B,8,Amanda Johnson '11,University of Pennsylvania,98
B,9,Sean Badger '10 *,University of New Hampshire,100
B,10,Alex Olt '12,Connecticut College,108
B,11,Max Famiglietti '13,University of Florida,109
B,12,Rebecca Dellenbaugh '10 *,Dartmouth College,111
B,13,Zachary Marks '11,University of South Florida,112
B,14,Evan Cooke '10 *,Boston College,113
B,15,Andrew Sommer '13,Massachusetts Institute of Technology,117
B,16,Mackenzie Spencer '12,University of Vermont,143
B,17,D.J. Hatch '11,Bowdoin College,159
B,18,John Joseph '12,Maine Maritime Academy,164
B,19,Peter Giuliano '10 *,University of Connecticut,168
B,20,Emily Dellenbaugh '12,Brown University,169
B,21,Hillary Paulsen '13,Cornell University,191
B,22,Thomas Chronert '13,U. S. Coast Guard Academy,193
B,23,Timothy Galligan '10 *,Rensselaer Polytechnic Institute,212
B,24,Kevin Mu '13,Princeton University,240
