Division,Placement,Skipper,Team,Total Score
A,1,Peter Pellegrini '12,Salve Regina University,23
A,2,Ian Sutherland '12,Providence College,28
A,3,Matthew Carmody '11,University of Rhode Island,39
A,4,Sean Badger '10 *,University of New Hampshire,49
A,5,Jon Beery '10 *,University of Connecticut,50
A,6,Peter Miller '13,Connecticut College,55
A,7,David Alfonso '14,Massachusetts Institute of Technology,58
A,8,Christian Manchester '10 *,Boston College,68
A,9,Luke Lawrence '13,Roger Williams University,74
A,10,Colin Santangelo '11,Harvard University,74
A,11,Tommy Fink '13,Brown University,77
A,12,Ryan White '11,Northeastern University,81
A,13,Peter Noogan '11,Amherst College,88
A,14,Bo McClatchy '13,Dartmouth College,92
A,15,Adrian Law '17,Boston University,94
A,16,Massimo Soriano '12,Tufts University,103
A,17,Rian Bareuther '13,U. S. Coast Guard Academy,107
A,18,Tobin Chew '12,McGill University,113
A,19,D.J. Hatch '11,Bowdoin College,121
A,20,Christopher Hamilton '10 *,University of Massachusetts at Boston,125
A,21,Rob Struckett '12,Yale University,126
A,22,John Fonte '12,Brandeis University,154
A,23,Matthew Butcka '12,Maine Maritime Academy,156
A,24,Robert Pierce '12,Massachusetts Maritime Academy,159
A,25,Dylan Griffin '12,Wesleyan University,165
A,26,Lilian Gong '12,Wellesley College,178
