Division,Placement,Skipper,Team,Total Score
B,1,SEAN Ross '12,University of South Florida,40
B,2,Christopher Banholzer '13,College of Charleston,63
B,3,Douglas Toney '11,University of Tennessee,67
B,4,Bradford Wright '11,Ocean County College,81
B,5,Andrew Shoemaker '15,Hampton University,91
B,6,Maxwell Hardage '11,Georgia Institute of Technology,94
B,7,Alexander Smolka '13,Clemson University,99
B,8,Allison Gray '13,University of Florida,103
B,9,James Eysenbach '11,University of Virginia,113
B,10,Oliver Evans '12,University of North Carolina at Wilmington,133
B,11,Taylor Morgan '12 *,Christopher Newport University,133
B,12,Michael Hemberger '13,Eckerd College,146
B,13,Douglas Zangre '13,Webb Institute,158
B,14,Emily Meehan '17,William and Mary,160
B,15,Jared Horvtiz '13 *,Florida Gulf Coast University,206
