Division,Placement,Skipper,Team,Total Score
B,1,Joseph Morris '12,Yale University,80
B,2,Allison Blecher '10 *,College of Charleston,86
B,3,William Brown '10 *,Brown University,96
B,4,Mathew Renik '19,Boston University,98
B,5,Anne Haeger '12,Boston College,102
B,6,Michael Komar '10 *,Old Dominion University,106
B,7,Sean Bouchard '12,Roger Williams University,113
B,8,Joshua Greenslade '14,St. Mary's College of Maryland,121
B,9,Andrew Criezis '10 *,Tufts University,129
B,10,Mike Warren '10 *,University of Rhode Island,135
B,11,Andrew Sommer '13,Massachusetts Institute of Technology,139
B,12,Matthew Cohen '10 *,Dartmouth College,141
B,13,John Moulthrop '10 *,Hobart and William Smith Colleges,150
B,14,Brendan Kopp '12,Harvard University,164
B,15,Taylor Vann '13,U. S. Naval Academy,167
B,16,Oliver Riihiluoma '12,Stanford University,171
B,17,Benjamin Bainbridge '12,Connecticut College,191
B,18,Alexander Sachs '12,Fordham University,206
