Division,Placement,Skipper,Team,Total Score
A,1,Sarah Lihan '10 *,Yale University,29
A,2,Christina Pryne '10 *,U. S. Naval Academy,36
A,3,Rebecca Dellenbaugh '10 *,Dartmouth College,45
A,4,Stephanie Roble '11,Old Dominion University,49
A,5,Sarah Yuskaitis '11,Hobart and William Smith Colleges,68
A,6,Mayumi Roller '13,St. Mary's College of Maryland,72
A,7,Emily Dellenbaugh '12,Brown University,75
A,8,Mildred Conroy '12,Washington College,81
A,9,Hillary Paulsen '13,Cornell University,97
A,10,Natalie Fohl '11,McGill University,125
A,11,Kaitlyn French '13,Penn State University,128
A,12,Julie Webster '11,Hamilton College,135
