Division,Placement,Skipper,Team,Total Score
B,1,Megan Magill '11,St. Mary's College of Maryland,43
B,2,Johnny Norfleet '13,University of Vermont,45
B,3,William Bowman '14,Boston College,52
B,4,Rex Cameron '12,University of California at Irvine,53
B,5,Ben Spector '13,College of Charleston,60
B,6,Michael Campbell '11,Georgetown University,63
B,7,Jennifer Proctor '11,U. S. Coast Guard Academy,69
B,8,Scott Hoffmann '14,Old Dominion University,74
B,9,Elliot Drake '12,University of Oregon,87
B,10,Sarah Mace '14,Stanford University,92
B,11,Craig Schifferns '12,University of Hawaii,92
B,12,Michael Grove '14,U. S. Naval Academy,98
B,13,Matt Foster '11,University of California at Santa Barbara,108
B,14,Eric Schwarm '13,Roger Williams University,113
B,15,Emily Dahl '13,University of Southern California,116
B,16,Kevin Reilly '11,U. S. Merchant Marine Academy,121
B,17,Oscar Jasklowski '11,University of California at Los Angeles,125
B,18,Patrick Taylor '12,Western Washington University,133
B,19,Max Rollins '12,Connecticut College,135
B,20,JOHN CONNOR BATHEN '14,Santa Clara University,136
B,21,Scott Doyle '14,California Maritime Academy,136
B,22,Alicia Bernhard '13,University of California at San Diego,153
B,23,Joseph Turchiano '11,Fordham University,163
B,24,Elizabeth Felando '13,University of California at Berkeley,182
B,25,Colin Feik '13,Texas A&M University,191
B,26,Andrew Domingos '11,California State University Channel Islands,203
B,27,Catherine Bevens '14,Chapman University,205
B,28,Jeffrey Miller '12,University of Notre Dame,210
B,29,Karisa Chapa '14,University of California at Davis,226
B,30,Shaun Prestridge '13,Cal Poly University S.L.O.,248
