Division,Placement,Skipper,Team,Total Score
A,1,Gerard Tonachel '13,Stevens Institute of Technology,23
A,2,Nathaniel Sabatt '11,U. S. Naval Academy,29
A,3,Tyler Kennedy '12,Ocean County College,30
A,4,Samuel Bedinger '13,Washington College,48
A,5,Paul Luisi '11,Monmouth University,52
A,6,Jessica Thal '12,Christopher Newport University,54
A,7,Mary Gamber '11,Princeton University,61
A,8,Joan Boyle '14,Drexel University,73
A,9,Taylor Hoover '14,Penn State University,87
A,10,Byron Bell '13,University of Maryland/Baltimore County,93
