Division,Placement,Skipper,Team,Total Score
B,1,Steven Drapcho '13,Massachusetts Institute of Technology,68
B,2,Steven Pelissier '14,University of Vermont,71
B,3,Stephen Byrne '14,Salve Regina University,90
B,4,Sarah Fiske '13,Bowdoin College,95
B,5,Matthew Russell '13,Tufts University,113
B,6,Alejandro Bancalari '13,Boston University,114
B,7,Andrea Verdeja '14,Brandeis University,138
B,8,Matthew Butcka '12,Maine Maritime Academy,144
B,9,Matt Johnson '12,Boston University,147
B,10,Maxime Fecteau '14,McGill University,166
B,11,Nick Waldo '13,Harvard University,174
B,12,Colin Henderson '15,Northeastern University,208
B,13,Santiago Enrique '13,Massachusetts Maritime Academy,209
B,14,Dylan Keegan '14,Wesleyan University,222
B,15,Jaime Russell '12 *,Bentley University,243
B,16,James Conkling '11,Middlebury College,248
B,17,Alysan Polito '14 *,University of New Hampshire,294
B,18,Ann Stallings '12,Wellesley College,301
