Division,Placement,Skipper,Team,Total Score
A,1,Ryan Sullivan '12,University of California at Santa Barbara,36
A,2,Gregory Dair '14,California State University Channel Islands,58
A,3,Eric Alamillo '13,University of California at San Diego,71
A,4,Kevin Laube '14,Stanford University,86
A,5,Zachary Hester '10,University of Hawaii,90
A,6,Philip Gordon '12,University of Oregon,94
A,7,Oscar Jasklowski '11,University of California at Los Angeles,104
A,8,Bradley Schoch '11,California State University Monterey Bay,112
A,9,Stephen Lue '12,University of Southern California,116
A,10,Jack Porter '11,University of California at Irvine,124
A,11,Andrew Cowley '12,University of California at Santa Cruz,144
A,12,Bryan Rust '11,Western Washington University,146
A,13,Thomas Maher '12,Cal Poly University S.L.O.,150
A,14,Aubrey Toole '12,University of California at Berkeley,150
A,15,Geoff Pedrick '12,Northwestern University,164
A,16,Trevor Moseley '13,Chapman University,203
A,17,Ryan Lee '12,University of California at Davis,210
A,18,none,University of Washington,224
A,19,Spenser Branch '14,Arizona State University,230
A,20,Maxwell Wyman '12,Santa Clara University,273
