Division,Placement,Skipper,Team,Total Score
A,1,Caroline Patten '11,Hobart and William Smith Colleges,19
A,2,Marlena Fauer '14,Yale University,20
A,3,Morgan Wilson '11,Old Dominion University,35
A,4,Marissa Lihan '14,U. S. Naval Academy,50
A,5,Caroline Wilhelm '11,Boston University,53
A,6,Ryann Hall '11,Fordham University,70
A,7,Hillary Paulsen '13,Cornell University,70
A,8,Mary Cummins '11,University of Wisconsin,71
A,9,Heather Richardson '13,Queen's University,78
A,10,Julie Webster '11,Hamilton College,84
