Division,Placement,Skipper,Team,Total Score
A,1,Mateo Vargas '14,Stanford University,78
A,2,Kevin Laube '14,Stanford University,88
A,3,William Haeger '14,Tufts University,94
A,4,David Liebenberg '14,Tufts University,106
A,5,Marlena Fauer '14,Yale University,126
A,6,IG Schottlaender '14,Connecticut College,146
A,7,William Howard '14,U. S. Coast Guard Academy,161
A,8,Bradley Milliken '14,U. S. Coast Guard Academy,165
A,9,Jordan Factor '14,University of Vermont,166
A,10,Ian Towill '14,Boston University,172
A,11,Steven Pelissier '14,University of Vermont,177
A,12,Guttorm Straume '14,Massachusetts Maritime Academy,177
A,13,Gabriel Salk '14,Connecticut College,195
A,14,Richard Graef '14,Massachusetts Maritime Academy,214
A,15,Paul Perry '11,Boston University,238
A,16,Alexander Rudkin '14,Roger Williams University,240
A,17,Campbell Duffy '13,Roger Williams University,247
A,18,Nace Cohen '14,Yale University,290
