Division,Placement,Skipper,Team,Total Score
B,1,Brianna Cerkiewicz '14,University of Victoria,13
B,2,Kristina Stewart '14,Western Washington University,25
B,3,Sara Welsh '12,Western Washington University,41
B,4,Brianne Busey '14,Portland State University,42
B,5,Jackson Thomas '15,Portland State University,50
B,6,Elisha Allen '13,University of British Columbia,53
B,7,Veronica Whitley '12,Western Washington University,54
B,8,Taisuke Kamoshita '11,University of Oregon,58
B,9,Lindsay Maggard '14,University of Puget Sound,61
B,10,Kirsten Campbell '13,Western Washington University,62
B,11,Molly Utter '14,University of Washington,66
B,12,Brendan Philip '14,University of Washington,68
B,13,Carl Fixsen '12,Oregon State University,70
B,14,Diana Fahning '13,University of Puget Sound,77
