Division,Placement,Skipper,Team,Total Score
B,1,Cam Cullman '13,Yale University,32
B,2,Edward Glackin '11,Dartmouth College,43
B,3,Frederick Whitman '11,St. Mary's College of Maryland,43
B,4,Tucker Blagden '11,Roger Williams University,44
B,5,Nicolas Russo-Larsson '12,Tufts University,49
B,6,Johnny Norfleet '13,University of Vermont,52
B,7,Sydney Bolger '12,Georgetown University,56
B,8,Daniel Bloomstine '11,Boston College,60
B,9,Wells Bacon '11,Connecticut College,60
B,10,Ben Spector '13,College of Charleston,65
B,11,Daniel Perkins '11,Boston University,66
B,12,Devin Laviano '13,U. S. Naval Academy,76
B,13,James Simmons '13,University of Rhode Island,76
B,14,Tyler Rice '14,Brown University,83
B,15,Steven Drapcho '13,Massachusetts Institute of Technology,88
B,16,Jeff Hahl '12,Eckerd College,98
B,17,Colin Santangelo '11,Harvard University,101
B,18,Kyle Carney '13,Salve Regina University,105
