Division,Placement,Skipper,Team,Total Score
A,1,Charlie Buckingham '11,Georgetown University,69
A,2,Cy Thompson '11,Roger Williams University,73
A,3,Cam Cullman '13,Yale University,84
A,4,Zachary Marks '11,University of South Florida,86
A,5,Fred Strammer '11,Brown University,98
A,6,Erik Bowers '12,College of Charleston,143
A,7,Colin Smith '13,Brown University,146
A,8,Sean Kelly '12,California Maritime Academy,157
A,9,Andrew Fox '13,University of Wisconsin,176
A,10,Chris Barnard '13,Georgetown University,181
A,11,Philip Alley '12,Cornell University,191
A,12,Elliot Drake '12,University of Oregon,191
A,13,Oliver Toole '14,Stanford University,196
A,14,David Hernandez '12,University of Miami,219
A,15,Samuel Blouin '12,Hobart and William Smith Colleges,227
A,16,Matthew Thompson '11,University of Minnesota,232
A,17,Joseph Kutschenreuter '12,University of Wisconsin,289
A,18,Shawn Ryan '11,Tulane University,308
