Division,Placement,Skipper,Team,Total Score
A,1,Andrew Fox '13,University of Wisconsin,20
A,2,Joseph Kutschenreuter '12,University of Wisconsin,22
A,3,Matthew Thompson '11,University of Minnesota,27
A,4,Brendan Boylan '13,University of Wisconsin,36
A,5,Cailin Oakes '18,University of Minnesota,43
A,6,Eric Sauter '13,University of Iowa,53
A,7,Braden Solum '12,University of Minnesota,60
A,8,Ryan Grosch '14,University of Minnesota,66
A,9,Weike Gao '18,University of Minnesota,85
A,10,Drake Lundeen '14,University of Minnesota,93
