Division,Placement,Skipper,Team,Total Score
B,1,Michael Grove '14,U. S. Naval Academy,13
B,2,Alden Sonnenfeldt '13,Cornell University,19
B,3,Alex Butti '12,Hobart and William Smith Colleges,22
B,4,John O'Riordan '12,Fordham University,45
B,5,Christina Johns '13,University of Pennsylvania,47
B,6,Oliver Blake '13,Queen's University,53
B,7,Alexandre Gareau '11,University of Ottawa,54
B,8,Alex Wood '13,U. S. Merchant Marine Academy,56
B,9,Nick Ventrilla '12,University of Buffalo,58
B,10,Nicholas Woviotis '15,Syracuse University,62
B,11,Edward Doran '15,Drexel University,65
B,12,Daniel Christiani '15,Rochester Institute of Technology,74
B,13,Joe Franco '14,University of Rochester,76
B,14,John Koehler '13,Columbia University,92
