Division,Placement,Skipper,Team,Total Score
A,1,Elliot Drake '12,University of Oregon,35
A,2,Patrick Taylor '12,Western Washington University,53
A,3,Paul Foley '15,Western Washington University,85
A,4,Glen Stellmacher '11,University of Washington,97
A,5,Alex Waldron '13,Western Washington University,102
A,6,Andrew Balter '12,University of Oregon,105
A,7,Philip Gordon '12,University of Oregon,110
A,8,John Elam '11,University of Puget Sound,111
A,9,Seamus Burpee '11,Lewis and Clark College,113
A,10,Liam Quinlan '14,University of Victoria,121
A,11,David Eva '12,University of Puget Sound,132
A,12,Bryan Rust '11,Western Washington University,133
A,13,Casey Pruitt '13,Western Washington University,137
A,14,Peter McGrath '13,Western Washington University,166
A,15,Bradley Sawyer '13,University of Oregon,207
A,16,Thunder 2,University of Victoria,207
