Division,Placement,Skipper,Team,Total Score
B,1,Jennifer Adler '11,Brown University,66
B,2,Caroline Patten '11,Hobart and William Smith Colleges,68
B,3,Kimberly Kaull '13,University of Vermont,88
B,4,Emily Maxwell '11,Boston College,105
B,5,Marlena Fauer '14,Yale University,109
B,6,Natalie Salk '13,Tufts University,117
B,7,Sara Burke '11,U. S. Naval Academy,120
B,8,Mayumi Roller '13,St. Mary's College of Maryland,120
B,9,Grace Lucas '14,College of Charleston,131
B,10,Kaye Siemers '13,Eckerd College,141
B,11,Nancy Hagood '14,Georgetown University,154
B,12,Hannah Burroughs '11,Stanford University,176
B,13,Corina Radtke '14,Old Dominion University,178
B,14,Caitlin Watson '14,Harvard University,190
B,15,Jaimie Chicoine '14,U. S. Coast Guard Academy,208
B,16,Casey Bowles-Jenner '13,University of South Florida,223
B,17,Meghan Tamminen '12,William and Mary,256
