Division,Placement,Skipper,Team,Total Score
B,1,Taylor Canfield '11,Boston College,103
B,2,Mac Mace '13,College of Charleston,124
B,3,Alec Anderson '13,Roger Williams University,139
B,4,Massimo Soriano '12,Tufts University,139
B,5,Joshua Greenslade '14,St. Mary's College of Maryland,139
B,6,Tommy Fink '13,Brown University,149
B,7,Austen Anderson '12,Hobart and William Smith Colleges,152
B,8,Clark Hayes '11,U. S. Naval Academy,154
B,9,Scott Furnary '11,Georgetown University,157
B,10,Eamon Glackin '12,Massachusetts Institute of Technology,165
B,11,Britton Steele '12,University of South Florida,196
B,12,Harry Scott '13,SUNY Maritime College,225
B,13,Nick Aswad '11,U. S. Merchant Marine Academy,240
B,14,Mildred Conroy '12,Washington College,247
B,15,Scott Hoffmann '14,Old Dominion University,247
B,16,Hunter Mumma '12,University of Vermont,277
B,17,Amanda Johnson '11,University of Pennsylvania,302
B,18,Laura Stamets '12,Texas A&M University at Galveston,319
B,19,Amy Gaylord '12,University of Miami,362
B,20,William Schwenger '13,Queen's University,369
