Division,Placement,Skipper,Team,Total Score
A,1,Austen Anderson '12,Hobart and William Smith Colleges,40
A,2,Shawn Murray '12,SUNY Maritime College,50
A,3,Eric Horrocks '11,U. S. Merchant Marine Academy,57
A,4,Lukas Edegran '13,U. S. Naval Academy,60
A,5,Philip Alley '12,Cornell University,68
A,6,Joseph Turchiano '11,Fordham University,92
A,7,Brendan Hannon '11,Columbia University,97
A,8,Scott Layton '11,Colgate University,105
A,9,Ira Carson '12,Queen's University,122
A,10,Nathan Fulcher '13,Rochester Institute of Technology,138
A,11,Nathan Fast '14,Webb Institute,144
A,12,William McIvor '12,Hamilton College,159
A,13,Kelly Rousmaniere '14,University of Rochester,172
A,14,Jonathan Williams '11,University of Ottawa,182
A,15,Michael Gillin '13,U. S. Military Academy,196
A,16,none,Rensselaer Polytechnic Institute,252
A,17,none,Royal Military College,252
