Division,Placement,Skipper,Team,Total Score
A,1,Oliver Toole '14,Stanford University,36
A,2,Sean Kelly '12,California Maritime Academy,53
A,3,Mateo Vargas '14,Stanford University,82
A,4,Kevin Laube '14,Stanford University,92
A,5,Judge Ryan '14,University of California at Los Angeles,97
A,6,Cameron Walsh '13,University of California at Santa Barbara,100
A,7,Nicholas Kaschak '12,University of California at Santa Barbara,100
A,8,Cameron Hutcheson '14,University of Southern California,109
A,9,Zachary Hester '10,University of Hawaii,111
A,10,Craig Schifferns '12,University of Hawaii,113
A,11,Stephen Lue '12,University of Southern California,127
A,12,William Petersen '11,University of Hawaii,150
A,13,Erik Samuels '13,University of Southern California,168
A,14,Matthew Van Rensselaer '13,California Maritime Academy,173
A,15,Matt Wenner '12,University of Hawaii,178
A,16,Ryan Lee '12,University of California at Davis,225
A,17,Jonathan Wilkerson '11,University of California at Davis,235
