Division,Placement,Skipper,Team,Total Score
A,1,Sarah Mace '14,Stanford University,28
A,2,Molly McKinney '14,Stanford University,28
A,3,Eliza Richartz '13,Stanford University,32
A,4,Hannah Tuson-Turner '11,University of Hawaii,54
A,5,Hannah Burroughs '11,Stanford University,55
A,6,Keelhaulers 1,California Maritime Academy,61
A,7,Mallory Schluter '14,University of Southern California,69
A,8,Kelsey Rupp '12,University of Southern California,72
A,9,Laura Hughes '14,University of Hawaii,75
A,10,Tahnee Allman '12,University of Hawaii,88
A,11,Madeline Kennedy '14,University of Hawaii,102
A,12,Elizabeth Thome '11,University of California at Davis,118
A,13,Kellie Clark '14,California Maritime Academy,148
A,14,Channel Islands,California State University Channel Islands,150
