Division,Placement,Skipper,Team,Total Score
A,1,George Saunders '12,Roger Williams University,55
A,2,Bernie Roesler '12,Dartmouth College,73
A,3,Christopher Poole '13,Maine Maritime Academy,84
A,4,Joseph Kelleher '12,University of Vermont,86
A,5,Daniel Perkins '11,Boston University,88
A,6,Sean Andrew '11,University of Connecticut,91
A,7,Weston Barlow '11,University of Rhode Island,102
A,8,Kevin Cassidy '11,Providence College,102
A,9,Andrew Meleny '13 *,Tufts University,104
A,10,Jeff Goodrich '12,Bowdoin College,113
A,11,Ryan White '11,Northeastern University,118
A,12,Philip Crain '13,Massachusetts Institute of Technology,123
A,13,David Pierce '12,Bates College,126
A,14,Stephen Sweriduk '12,Connecticut College,133
A,15,Stephen Byrne '14,Salve Regina University,146
A,16,Guttorm Straume '14,Massachusetts Maritime Academy,155
A,17,Christopher Edwards '11,University of New Hampshire,161
