Division,Placement,Skipper,Team,Total Score
A,1,Max Famiglietti '13,University of Florida,29
A,2,Jackson Benvenutti '11,College of Charleston,30
A,3,Niklas Anderson '15,Eckerd College,41
A,4,SEAN Ross '12,University of South Florida,47
A,5,Nicholas Voss '12,University of Miami,49
A,6,Adam Harris '12,Florida Institute of Technology,73
A,7,Harrison Cabiness '12,Clemson University,77
A,8,Andrew Battigaglia '12,Georgia Tech,87
A,9,J Hoyt '11,Rollins College,98
A,10,John Mellnik '12,University of North Carolina,100
A,11,Cole Barney '14,University of North Carolina at Wilmington,115
A,12,Gregory Bachman '11,Duke University,116
