Division,Placement,Skipper,Team,Total Score
B,1,Ryan Hughes '13,University of Rhode Island,54
B,2,Ian Towill '14,Boston University,80
B,3,Kyle Carney '13,Salve Regina University,87
B,4,Christopher Price '14,Dartmouth College,101
B,5,Tyler Rice '14,Brown University,101
B,6,Ryan White '11,Northeastern University,108
B,7,Max Nickbarg '14,Yale University,109
B,8,Bradley Milliken '14,U. S. Coast Guard Academy,112
B,9,Carl Lichtenfels '12,Providence College,117
B,10,Haley Powell '13,Roger Williams University,121
B,11,Tevis Nichols '12,Massachusetts Institute of Technology,123
B,12,Solomon Krevans '14,Tufts University,138
B,13,Peter Edmunds '14,Bowdoin College,142
B,14,John Joseph '12,Maine Maritime Academy,149
B,15,Santiago Enrique '13,Massachusetts Maritime Academy,169
B,16,Ryan Daly '14,Connecticut College,171
B,17,David Pierce '12,Bates College,180
B,18,Nicholas Dragone '14,Middlebury College,181
B,19,Caitlin Watson '14,Harvard University,215
B,20,Justin Marks '14,University of New Hampshire,220
B,21,Charlotte Skinner '13,McGill University,223
B,22,Josh Basseches '12,Brandeis University,246
B,23,Whitney Washburn '14,University of Connecticut,251
B,24,Stephanie Dowling '12,Amherst College,251
B,25,Lauren McGraw '11,Wellesley College,275
B,26,Elizabeth Dorr '12,Williams College,291
