Division,Placement,Skipper,Team,Total Score
B,1,Lauren Burke '12,Georgetown University,48
B,2,Jason Carminati '12,U. S. Naval Academy,54
B,3,Louis Padnos '14,Hobart and William Smith Colleges,56
B,4,Fletcher Sims '14,St. Mary's College of Maryland,68
B,5,Brady Stagg '14,Old Dominion University,70
B,6,Christopher Stessing '14,University of Virginia,108
B,7,Isaac Clark '12,William and Mary,121
B,8,Sam Fitzgerald '14,Washington College,125
B,9,Maxwell Plarr '11,Christopher Newport University,141
B,10,Nicholas Koeniger '14,George Washington University,148
B,11,John Kinnally '11,Salisbury University,173
B,12,Sarah Hamm '13,University of Maryland,179
B,13,Bryan Schapperle '13,American University,187
B,14,Kimannee Simon '14,Hampton University,199
B,15,Luke Wakeen '12,St. John's College,236
B,16,Benjamin Amoss '11,Virginia Tech,255
