Division,Placement,Skipper,Team,Total Score
A,1,Ryan Sullivan '12,University of California at Santa Barbara,49
A,2,Oscar Jasklowski '11,University of California at Los Angeles,85
A,3,Zachary Hester '10,University of Hawaii,87
A,4,Kevin Laube '14,Stanford University,90
A,5,Sean Kelly '12,California Maritime Academy,101
A,6,Jack Porter '11,University of California at Irvine,106
A,7,Molly McKinney '14,Stanford University,106
A,8,Elliot Drake '12,University of Oregon,128
A,9,Stephen Lue '12,University of Southern California,130
A,10,Scott Proctor '11,University of Texas,134
A,11,Hannah Darrin '11,University of Washington,138
A,12,Erika Vranizan '12,Western Washington University,153
A,13,Thomas Maher '12,Cal Poly University S.L.O.,153
A,14,Carmen Bozina '11,University of California at Los Angeles,160
A,15,Andrew Cowley '12,University of California at Santa Cruz,163
A,16,Eric Alamillo '13,University of California at San Diego,165
A,17,Max Moosmann '11,Chapman University,187
A,18,Travis Benton '14,University of California at Berkeley,195
A,19,Bradley Schoch '11,California State University Monterey Bay,198
A,20,Peter McGrath '13,Western Washington University,230
A,21,Ashley Eberhard '11,California State University Monterey Bay,231
A,22,Aaron Scull '12,University of Washington,238
A,23,Megan Hayes '13,University of California at Berkeley,247
A,24,Cara Kuhlman '11,University of Oregon,251
A,25,none,Santa Clara University,253
A,26,Jonathan Wilkerson '11,University of California at Davis,256
A,27,Brittany Hirsch '13,University of California at Davis,280
