Division,Placement,Skipper,Team,Total Score
B,1,Marlena Fauer '14,Yale University,34
B,2,Kelsey Wheeler '14,Dartmouth College,41
B,3,Natalie Salk '13,Tufts University,48
B,4,Carolyn Naughton '14,Boston College,61
B,5,Jessica Claflin '13,Brown University,70
B,6,Chanel Miller '14,University of Rhode Island,87
B,7,Caitlin Watson '14,Harvard University,91
B,8,Laura Cuccio '14,University of Vermont,94
B,9,Emily McNeil '14,Bowdoin College,106
B,10,Paige Fagan '14,University of New Hampshire,121
B,11,Alexi Schwartzkopff '11,Roger Williams University,134
B,12,Caitlin Goodrich '14,Boston University,142
B,13,Whitney Washburn '14,University of Connecticut,154
