Division,Placement,Skipper,Team,Total Score
B,1,Alec Anderson '13,Roger Williams University,73
B,2,Matthew Wefer '14,Dartmouth College,94
B,3,Tommy Fink '13,Brown University,133
B,4,Eamon Glackin '12,Massachusetts Institute of Technology,137
B,5,Victor Diaz De Leon '14,St. Mary's College of Maryland,143
B,6,Zeke Horowitz '12,College of Charleston,146
B,7,Cam Cullman '13,Yale University,148
B,8,David Hernandez '12,University of Miami,150
B,9,Matthew Gowell '14,Georgetown University,152
B,10,Austen Anderson '12,Hobart and William Smith Colleges,165
B,11,Michael Grove '14,U. S. Naval Academy,186
B,12,Massimo Soriano '12,Tufts University,202
B,13,Emily Lambert '12,Harvard University,208
B,14,SEAN Ross '12,University of South Florida,220
B,15,Gary Herring '12,U. S. Merchant Marine Academy,225
B,16,Harry Scott '13,SUNY Maritime College,232
B,17,Jack Swikart '15,University of Pennsylvania,233
B,18,Gavin Rudolph '12,Old Dominion University,234
