Division,Placement,Skipper,Team,Total Score
A,1,Scott Marriott '12,University of Toledo,21
A,2,Adam Gilbertson '13,Ohio State University,25
A,3,William Weible '13,Wittenberg University,29
A,4,Evan Graves '13,Ohio University,30
A,5,Alex Graves '15,Ohio State University,43
A,6,Jeffrey Miller '12,University of Notre Dame,47
A,7,William Kyle '14,Bowling Green State University,51
A,8,Carl Hotz '13,University of Akron,60
A,9,Nicolas Lyman '15,Denison University,70
A,10,William Jaquinde '12,Denison University,71
A,11,Brian Rosensteel '13,Purdue University,88
A,12,none,Miami University,91
A,13,William Andreae '13,Miami University,110
