Division,Placement,Skipper,Team,Total Score
A,1,Alec Anderson '13,Roger Williams University,74
A,2,Sam Williams '12,Dartmouth College,76
A,3,Ryan Pesch '12,Boston University,93
A,4,Graham Landy '15,Yale University,105
A,5,Anne Haeger '12,Boston College,107
A,6,Oliver Toole '14,Stanford University,137
A,7,Olin Davis '14,University of Vermont,144
A,8,James Simmons '13,University of Rhode Island,149
A,9,Nicolas Russo-Larsson '12,Tufts University,150
A,10,Emily Lambert '12,Harvard University,160
A,11,Peter Pellegrini '12,Salve Regina University,161
A,12,Andrew Mason '12,Georgetown University,164
A,13,Tyler Rice '14,Brown University,167
A,14,Devin Laviano '13,U. S. Naval Academy,175
A,15,Patrick Kana '12,Hobart and William Smith Colleges,181
A,16,Maarten Eenkema Van Dijk '14,Northeastern University,189
A,17,Philip Alley '12,Cornell University,199
A,18,Kevin Martland '14,Connecticut College,200
A,19,Bradley Milliken '14,U. S. Coast Guard Academy,217
A,20,Katherine Gullick '12,Massachusetts Institute of Technology,221
A,21,Ian Liberty '14,St. Mary's College of Maryland,225
A,22,Matthew Graham '13,University of Michigan,248
