Division,Placement,Skipper,Team,Total Score
B,1,Sean Bouchard '12,Roger Williams University,101
B,2,Matt Johnson '12,Boston University,113
B,3,Bernie Roesler '12,Dartmouth College,113
B,4,Markus Edegran '16,U. S. Naval Academy,122
B,5,William Hutchings '13,Tufts University,125
B,6,Ryan Mullins '13,Boston College,125
B,7,Peter Miller '13,Connecticut College,129
B,8,Hans Henken '15,Stanford University,131
B,9,Louis Padnos '14,Hobart and William Smith Colleges,140
B,10,Drew Shea '14,Brown University,142
B,11,Morgan Kiss '15,Yale University,147
B,12,none,University of Rhode Island,155
B,13,Ryan Seago '14,University of Michigan,177
B,14,Chloe Lepert '15,Massachusetts Institute of Technology,180
B,15,Conor Lodge '14,Northeastern University,181
B,16,Wick Dudley '12,St. Mary's College of Maryland,182
B,17,Daniel Eichler '13,Georgetown University,184
B,18,Michael Drumm '15,Harvard University,187
B,19,Kyle Carney '13,Salve Regina University,197
B,20,Steven Pelissier '14,University of Vermont,206
B,21,Dylan Finneran '15,U. S. Coast Guard Academy,251
B,22,Duncan Howes '15,Cornell University,254
