Division,Placement,Skipper,Team,Total Score
A,1,Alexander Sachs '12,Fordham University,25
A,2,Jennifer Borshoff '15,Cornell University,29
A,3,Patrick Kana '12,Hobart and William Smith Colleges,33
A,4,Gerard Tonachel '13,Stevens Institute of Technology,45
A,5,Alden Sonnenfeldt '13,Cornell University,51
A,6,Samantha Gebb '14,Princeton University,66
A,7,Eddie Einhaus '13,Rensselaer Polytechnic Institute,70
A,8,Zachary Schippe '14,Ocean County College,75
A,9,Andrew Murphy '14,Syracuse University,82
A,10,Conor Cashel '14,Columbia University,82
A,11,Jacob Romanowsky '14,University of Rochester,88
A,12,Andrew Sayre '12,Villanova University,91
A,13,Nathan Fulcher '13,Rochester Institute of Technology,105
A,14,Andrew Green '14,University of Buffalo,118
A,15,Jarrett Scherrer '12,Penn State University,120
