Division,Placement,Skipper,Team,Total Score
A,1,Samuel Blouin '12,Hobart and William Smith Colleges,59
A,2,Joseph Kutschenreuter '12,University of Wisconsin,94
A,3,Sam Williams '12,Dartmouth College,99
A,4,Joseph Morris '12,Yale University,99
A,5,William Haeger '14,Tufts University,103
A,6,Kevin Martland '14,Connecticut College,110
A,7,Olin Davis '14,University of Vermont,111
A,8,Alec Anderson '13,Roger Williams University,116
A,9,Colin Smith '13,Brown University,122
A,10,Brendan Kopp '12,Harvard University,124
A,11,Will Stocke '13,University of South Florida,134
A,12,Dillon Paiva '13,Old Dominion University,142
A,13,Alex Cook '13,Boston College,150
A,14,Eamon Glackin '12,Massachusetts Institute of Technology,156
A,15,Kieran Chung '15,Stanford University,160
A,16,Victor Diaz De Leon '14,St. Mary's College of Maryland,168
A,17,Bradley Milliken '14,U. S. Coast Guard Academy,172
A,18,Kyle Carney '13,Salve Regina University,195
A,19,Peter Edmunds '14,Bowdoin College,205
A,20,Devin Laviano '13,U. S. Naval Academy,215
