Division,Placement,Skipper,Team,Total Score
B,1,Timothy Scanlon '12,Dartmouth College,27
B,2,Dan Ricker '15,Washington College,32
B,3,Christian Geary '14,Stevens Institute of Technology,34
B,4,Lukas Edegran '13,U. S. Naval Academy,36
B,5,Alex Nugent '15,Hobart and William Smith Colleges,38
B,6,Andrew Beckmann '15,George Washington University,54
B,7,Matthew Schoene '15,SUNY Maritime College,60
B,8,Alexander Liem '15,Cornell University,69
B,9,Edward Titcomb '13,Fordham University,73
B,10,Eddie Einhaus '13,Rensselaer Polytechnic Institute,76
B,11,Connor McGowan '14,U. S. Merchant Marine Academy,76
B,12,Conor Cashel '14,Columbia University,88
B,13,Spencer Stubbins '13,Queen's University,96
B,14,Padraig Loughlin '15,U. S. Merchant Marine Academy,104
B,15,Chris Myers '15,Drexel University,118
B,16,Laine Meelheim '13,Rutgers University,121
B,17,Matthew Marciano '14,Monmouth University,137
B,18,Jamie Lee Wasco '12,Kean University,137
B,19,Dylan Ackermamn '14,Princeton University,145
