Division,Placement,Skipper,Team,Total Score
B,1,Christopher Stessing '14,University of Virginia,31
B,2,Elliott Morrill '15,Hobart and William Smith Colleges,32
B,3,Jacob Spracher '15,Old Dominion University,40
B,4,Philip Youngberg '15,U. S. Naval Academy,51
B,5,Andrew Sayre '12,Villanova University,56
B,6,Scott Barnhill '14,Villanova University,61
B,7,Rachel Austin '14,Old Dominion University,71
B,8,Allison Shane '15,St. Mary's College of Maryland,74
B,9,Collin Clark '14,Cornell University,94
B,10,Jon Gambacorta '13,University of Buffalo,102
B,11,Beatriz Gimenez De Cordoba '11,American University,117
