Division,Placement,Skipper,Team,Total Score
B,1,Christopher Price '14,Dartmouth College,36
B,2,Mike Booker '15 *,University of Vermont,46
B,3,Connor Brady '15,Roger Williams University,52
B,4,William Gibbons '15,Roger Williams University,60
B,5,James Rohman '13,Bowdoin College,68
B,6,Cole Rice '15,Roger Williams University,72
B,7,Abby Preston '15,Roger Williams University,80
B,8,Dan Nickerson '15,Tufts University,87
B,9,Johanna Kincaid '15,Brown University,93
B,10,Angus Page '12,Wesleyan University,101
B,11,Luke Miller '15,U. S. Coast Guard Academy,122
B,12,Isabel Elliman '12,Yale University,131
B,13,Brendan Griffiths '14,Mitchell College,156
B,14,James Fales '13,University of Connecticut,167
B,15,Charles Cahill '15,Massachusetts Maritime Academy,169
