Division,Placement,Skipper,Team,Total Score
A,1,Elliot Drake '12,University of Oregon,5
A,2,Patrick Taylor '12,Western Washington University,20
A,3,Philip Gordon '12,University of Oregon,24
A,4,Andrew Balter '12,University of Oregon,29
A,5,Peter McGrath '13,Western Washington University,30
A,6,Paul Foley '14,Western Washington University,30
A,7,Alex Waldron '13,Western Washington University,31
A,8,Mike Knape '12,University of Puget Sound,34
A,9,Casey Pruitt '13,Western Washington University,38
A,10,Jake Fetterman '15,Western Washington University,43
A,11,Brian Hickman '15,Oregon State University,51
A,12,Colin Thompson '12,University of Puget Sound,58
A,13,Ryan Fritsen '14,University of Oregon,65
A,14,Jeffrey Hickman '13,Oregon State University,68
