Division,Placement,Skipper,Team,Total Score
A,1,Mary Hall '15,U. S. Naval Academy,28
A,2,Giuditta Di Laghi '16,Hampton University,32
A,3,Marissa Lihan '14,U. S. Naval Academy,37
A,4,Catherine Shanahan '15,St. Mary's College of Maryland,37
A,5,Kayla McComb '13,St. Mary's College of Maryland,40
A,6,Lauren Schoene '13,St. Mary's College of Maryland,57
A,7,Nancy Hagood '14,Georgetown University,66
A,8,Emma Ferris '15,U. S. Naval Academy,73
A,9,Merritt Moran '14,Georgetown University,74
A,10,Alexis Coudert '15,Georgetown University,78
A,11,Corina Radtke '14,Old Dominion University,83
A,12,Killian Corbishley '14,U. S. Naval Academy,88
A,13,Rachel Austin '14,Old Dominion University,98
A,14,Katie Cummings '14,Old Dominion University,98
A,15,Mackenzie Needham '15 *,Washington College,100
A,16,Andrea Luna '15,Old Dominion University,101
A,17,Noel Ingalls '15,U. S. Merchant Marine Academy,134
