Division,Placement,Skipper,Team,Total Score
B,1,Ben Weigel '14,Tufts University,14
B,2,Henry Vogel '15,Roger Williams University,15
B,3,Emmett Weeks '14,Brown University,16
B,4,Jack Kerby-Miller '14,Middlebury College,23
B,5,Brian Gracey '12,U. S. Coast Guard Academy,24
B,6,Alexander Rudkin '14,Roger Williams University,26
B,7,Richard Meisenbach '10,University of Vermont,27
B,8,Ryan Daly '14,Connecticut College,27
B,9,Melissa Bermudez '12,Columbia University,33
B,10,Austen Fiora '12,Wesleyan University,36
B,11,Moussa Diolombi '15,Northeastern University,39
B,12,Christopher Wagner '15,Massachusetts Maritime Academy,43
B,13,Mike DAmico '13 *,Mitchell College,52
B,14,James McAndrew '16,University of Rhode Island,52
B,15,Pierce Conlin '15,Salve Regina University,53
