Division,Placement,Skipper,Team,Total Score
A,1,Anne Haeger '12,Boston College,42
A,2,Kevin Martland '14,Connecticut College,44
A,3,Andy Shaw '12,BUSA,50
A,4,Samuel Stokes '12,College of Charleston,52
A,5,Ryan Pesch '12,Boston University,56
A,6,Sam Williams '12,Dartmouth College,56
A,7,Chris Barnard '13,Georgetown University,62
A,8,Victor Diaz De Leon '14,St. Mary's College of Maryland,63
A,9,SEAN Ross '12,University of South Florida,66
A,10,Jordan Factor '14,University of Vermont,74
A,11,Dillon Paiva '13,Old Dominion University,77
A,12,Connor Needham '14,Roger Williams University,80
A,13,Gordon Wolcott '13,University of Virginia,88
A,14,Michael Russom '13,University of Pennsylvania,91
A,15,Daniel Liberty '12,U. S. Merchant Marine Academy,96
A,16,Jonathan Goldsmith '11,Cornell University,116
A,17,Mildred Conroy '12,Washington College,126
A,18,John Croll '12,Columbia University,129
