Division,Placement,Skipper,Team,Total Score
A,1,Amy Hawkins '12,University of Rhode Island,46
A,2,Kelsey Wheeler '14,Dartmouth College,46
A,3,Atlantic Brugman '13,Connecticut College,49
A,4,Emily Dellenbaugh '12,Brown University,70
A,5,Natalie Salk '13,Tufts University,84
A,6,Claire Dennis '13,Yale University,85
A,7,Haley Powell '13,Roger Williams University,89
A,8,Alexandra Arntsen '12,University of Vermont,92
A,9,Katherine Doble '13,Bowdoin College,101
A,10,Eliza Richartz '13,Stanford University,105
A,11,Katherine Gullick '12,Massachusetts Institute of Technology,130
A,12,Nancy Hagood '14,Georgetown University,147
A,13,Lauren Cefali '15,U. S. Coast Guard Academy,148
A,14,Morgan Russom '14,Harvard University,149
A,15,Erica Lush '14,Boston University,153
A,16,Irene Jacqz '13,Columbia University,180
A,17,Nicole Popp '12,University of Miami,183
A,18,Heidi Hood '16,Northeastern University,197
