Division,Placement,Skipper,Team,Total Score
A,1,Sydney Bolger '12,Georgetown University,68
A,2,Claire Dennis '13,Yale University,81
A,3,Corey Hall '12,College of Charleston,92
A,4,Amy Hawkins '12,University of Rhode Island,99
A,5,Emily Dellenbaugh '12,Brown University,107
A,6,Kelsey Wheeler '14,Dartmouth College,113
A,7,Natalie Salk '13,Tufts University,125
A,8,Elizabeth Whipple '12,Connecticut College,126
A,9,Abby Featherstone '13,University of South Florida,129
A,10,Mary Hall '15,U. S. Naval Academy,130
A,11,Arielle DeLisser '14,Hobart and William Smith Colleges,142
A,12,Kaye Siemers '13,Eckerd College,147
A,13,Alexandra Arntsen '12,University of Vermont,160
A,14,Kayla McComb '13,St. Mary's College of Maryland,160
A,15,Lauren Turner '13,Cornell University,163
A,16,Kaylee Schwitzer '15,Bowdoin College,173
A,17,Julia Paxton '14,SUNY Maritime College,184
A,18,Corina Radtke '14,Old Dominion University,186
