Division,Placement,Skipper,Team,Total Score
A,1,Ben Otten '11,University of Wisconsin Milwaukee,27
A,2,Lawrence Jau '13,University of Michigan,29
A,3,Aaron Martinson '14,University of Minnesota,45
A,4,Ian Schappe '14,Grinnell College,50
A,5,Brendan Walsh '11,University of Wisconsin,59
A,6,Mary Prothero '15,Washington University,61
A,7,Olivia Zwierski-Moran '16,University of Illinois - Chicago,64
A,8,Alison Kent '16,University of Minnesota,64
A,9,Sarah Gross '15,University of Iowa,73
A,10,Harrison Faust '16,University of Wisconsin,87
A,11,Molly Strieker '15,University of Iowa,108
