Division,Placement,Skipper,Team,Total Score
B,1,none,Denison University,1
B,2,none,Miami University,2
B,3,none,Denison University,3
B,4,none,Ohio State University,4
B,5,none,Bowling Green State University,5
B,6,none,Hope College,6
B,7,none,University of Michigan,7
B,8,none,Ohio University,8
B,9,none,Bowling Green State University,9
B,10,none,University of Toledo,10
B,11,none,Michigan Technological University,11
B,12,none,Ohio State University,12
B,13,none,Miami University,13
B,14,none,Ohio University,14
