Division,Placement,Skipper,Team,Total Score
B,1,none,Roger Williams University,18
B,2,none,Boston University,33
B,3,none,Northeastern University,36
B,4,none,Tufts University,48
B,5,Karl Ryder '16,Massachusetts Maritime Academy,77
B,6,none,Wesleyan University,83
B,7,none,Maine Maritime Academy,87
B,8,none,Johnson and Wales University,91
B,9,none,Boston University,96
B,10,none,University of New Hampshire,119
B,11,none,McGill University,119
B,12,Nick Belsito '13,Amherst College,150
B,13,none,Williams College,188
B,14,none,Brandeis University,190
B,15,none,Bentley University,191
