Division,Placement,Skipper,Team,Total Score
A,1,Christopher Ford '16,Massachusetts Institute of Technology,32
A,2,John McGlynn '13,Wesleyan University,47
A,3,none,Tufts University,54
A,4,Christopher Jensen '14,Salve Regina University,62
A,5,Brendan Cook '16,Boston University,65
A,6,Thomas Presti '13,University of Connecticut,68
A,7,Colin Henderson '15,Northeastern University,72
A,8,Johannes Raatz '15,Amherst College,73
A,9,Alexander Rudkin '14,Roger Williams University,73
A,10,James McAndrew '16,University of Rhode Island,77
A,11,Jeremy Kalas '16,Massachusetts Institute of Technology,84
A,12,Matthew Clarida '16,Harvard University,89
A,13,Ellen Kintz '13,U. S. Coast Guard Academy,96
A,14,Connor Bair-Cucchiaro '15,Bates College,106
A,15,Marina Crowe '16,Massachusetts Institute of Technology,111
A,16,Nicholaus Pehr '15,Massachusetts Maritime Academy,129
A,17,Tyler Durant '14,Bentley University,139
