Division,Placement,Skipper,Team,Total Score
B,1,Michael Popp '16,U. S. Naval Academy,32
B,2,Stewart Draheim '16,Hobart and William Smith Colleges,48
B,3,Julia Paxton '14,SUNY Maritime College,57
B,4,Colin MURPHY '15,Dartmouth College,67
B,5,Max Kohrman '15,Stanford University,85
B,6,Benjamin Mohney '15,University of South Florida,85
B,7,Ian Hollerbach '14,Roger Williams University,94
B,8,Zach Runci '13,Old Dominion University,97
B,9,Brendan Boylan '13,University of Wisconsin,101
B,10,Duncan Howes '15,Cornell University,107
B,11,Alex Reynolds '14,Fordham University,113
B,12,Thomas Heist '15,Washington College,118
B,13,Francois Conde-Jahn '13,U. S. Merchant Marine Academy,126
B,14,Thomas Etheridge '16,University of Michigan,133
B,15,John Koehler '13,Columbia University,204
B,16,none,University of Connecticut,204
