Division,Placement,Skipper,Team,Total Score
A,1,Benjamin Kennady '13,Texas A&M University at Galveston,11
A,2,Ellen Nielsen '15,University of Texas,21
A,3,Christian Caldwell '13,University of Colorado at Boulder,38
A,4,Matt Lenz '13,University of Texas,46
A,5,Alexandra Payne '15,Tulane University,49
A,6,Ryan Schwend '13,University of North Texas,68
A,7,Svetlana Samokhvalova '14,Oklahoma City University,69
A,8,Paige Meineke '14,Texas A&M University at Galveston,75
A,9,Max Abouchar '16 *,Southern Methodist University,81
A,10,Joe Santos '13,University of Kansas,94
