Division,Placement,Skipper,Team,Total Score
B,1,George Prieto '13,U. S. Naval Academy,27
B,2,Christian Geary '14,Stevens Institute of Technology,31
B,3,Eric Siegel '16,Washington College,35
B,4,Marissa Golison '16,St. Mary's College of Maryland,46
B,5,Connor Godfrey '16,Fordham University,56
B,6,Christina Johns '13,University of Pennsylvania,65
B,7,Annie Eckmann '14,Christopher Newport University,76
B,8,Chris Myers '15,Drexel University,80
B,9,Andrew Werner '14,Princeton University,93
B,10,John Koehler '13,Columbia University,103
B,11,Sarah Celone '13,Villanova University,108
B,12,Hannah Saunders '15,Ocean County College,111
B,13,Emily McCarthy '13,Kean University,123
B,14,none,Penn State University,125
B,15,Jonathan Scheaffer '14,Rutgers University,136
B,16,James Rush '14,University of Maryland/Baltimore County,150
B,17,Alison Sobeck '13,University of Delaware,161
B,18,none,American University,172
