Division,Placement,Skipper,Team,Total Score
A,1,Mary Hall '15,U. S. Naval Academy,48
A,2,Nancy Hagood '14,Georgetown University,69
A,3,Corina Radtke '14,Old Dominion University,75
A,4,Arielle DeLisser '14,Hobart and William Smith Colleges,76
A,5,Mayumi Roller '13,St. Mary's College of Maryland,78
A,6,Lauren Turner '13,Cornell University,89
A,7,Irene Jacqz '13,Columbia University,90
A,8,Mia Cooper '14,Fordham University,94
A,9,Samantha Gebb '14,Princeton University,107
A,10,Maria Sinagra '16,George Washington University,111
A,11,Annie Eckmann '14,Christopher Newport University,142
A,12,Heather Richardson '13,Queen's University,150
A,13,Eleanor Conroy '15,Washington College,153
A,14,Amanda Castagna '15,William and Mary,188
