Division,Placement,Skipper,Team,Total Score
A,1,Erika Reineke '16,Boston College,30
A,2,Lauren Cefali '15,U. S. Coast Guard Academy,67
A,3,Claire Dennis '13,Yale University,73
A,4,Emily Billing '13,Yale University,74
A,5,Christina Frost '16,U. S. Coast Guard Academy,79
A,6,Urska Kosir '15,Yale University,81
A,7,Sky Adams '14,Brown University,84
A,8,Carolyn Naughton '14,Boston College,118
A,9,Morgan Russom '14,Harvard University,131
A,10,Tasha Greenwood '15,Northeastern University,142
A,11,Kelly McGlynn '15,Brown University,149
A,12,Jessica Claflin '13,Brown University,152
A,13,Hanna Vincent '14,Massachusetts Institute of Technology,159
A,14,Rosalind Lesh '16,Massachusetts Institute of Technology,163
A,15,Alexandra Romagnoli '15,Connecticut College,165
A,16,Sarah Stubbs '16,Tufts University,171
A,17,Amanda Sommi '16,Tufts University,172
A,18,Liz Dubovik '15,Connecticut College,215
