Division,Placement,Skipper,Team,Total Score
D,1,James Barry '16,Brown University,57
D,2,Mayumi Roller '13,St. Mary's College of Maryland,61
D,3,Marissa Lihan '14,U. S. Naval Academy,79
D,4,Alex Post '15,Georgetown University,83
D,5,Charles Rees '16,College of Charleston,85
D,6,Claire Dennis '13,Yale University,86
D,7,Timothy Zacher '13,Hobart and William Smith Colleges,95
D,8,Alejandro Ruiz-Ramon '15,Tufts University,102
D,9,OJ O'Connell '15,University of Vermont,117
D,10,Giuditta Di Laghi '16,Hampton University,130
D,11,Abby Featherstone '13,University of South Florida,136
D,12,Michael Dahl '15,Stanford University,148
D,13,Thomas Heist '15,Washington College,182
D,14,Joseph David '16,Old Dominion University,183
D,15,Scott Lubliner '13,SUNY Maritime College,184
D,16,Laura Hernandez '15,University of Miami,203
D,17,Samuel Watterson '16,U. S. Merchant Marine Academy,212
D,18,Andrew Lauten '15,Michigan State University,251
