Division,Placement,Skipper,Team,Total Score
B,1,Judge Ryan '14,Brown University,95
B,2,Scott Houck '15,Dartmouth College,96
B,3,Nick Johnstone '15,College of Charleston,118
B,4,Alex Post '15,Georgetown University,120
B,5,Marlena Fauer '14,Yale University,124
B,6,Louis Padnos '14,Hobart and William Smith Colleges,125
B,7,Esteban Forrer '16,Old Dominion University,134
B,8,Michael Grove '14,U. S. Naval Academy,134
B,9,Fletcher Sims '14,St. Mary's College of Maryland,134
B,10,Henry Vogel '15,Roger Williams University,135
B,11,Brian Drumm '15,Harvard University,147
B,12,Benjamin Mohney '15,University of South Florida,154
B,13,Tyler Steel '13,SUNY Maritime College,164
B,14,Olivia Crane '15,University of Vermont,170
B,15,Alex Reynolds '14,Fordham University,229
B,16,Francois Conde-Jahn '13,U. S. Merchant Marine Academy,241
B,17,Robert Savoie '14,Eckerd College,243
B,18,Ben Jassin '13,University of Miami,245
B,19,Eleanor Conroy '15,Washington College,251
B,20,Alex Smyth '15,Queen's University,325
