Division,Placement,Skipper,Team,Total Score
A,1,Caleb Armstrong '16,University of Rhode Island,85
A,2,Scott Houck '15,Dartmouth College,100
A,3,Domenic Bove '15,Boston College,102
A,4,David Liebenberg '14,Tufts University,103
A,5,Lucas Adams '15,Brown University,112
A,6,Michael Croteau '15,Bowdoin College,114
A,7,Connor Astwood '16,Boston University,121
A,8,Connor Corgard '16,Roger Williams University,125
A,9,Marlena Fauer '14,Yale University,129
A,10,Maarten Eenkema Van Dijk '14,Northeastern University,132
A,11,Avery Fanning '16,U. S. Coast Guard Academy,135
A,12,Ben Lamont '14,Harvard University,162
A,13,Michael Booker '15,University of Vermont,166
A,14,Rosalind Lesh '16,Massachusetts Institute of Technology,171
A,15,Mike Bloomstine '13,Providence College,176
A,16,John Silvestri '16,Salve Regina University,181
A,17,Sarah Fuller '16,University of Connecticut,207
A,18,Will Humphrey '14,University of New Hampshire,245
