Division,Placement,Skipper,Team,Total Score
B,1,Avery Fanning '16,U. S. Coast Guard Academy,40
B,2,John Renehan '13,Dartmouth College,43
B,3,Lizzy Hamilton '15,Bowdoin College,52
B,4,Duncan Swain '15,Tufts University,60
B,5,Pearson Potts '16,Connecticut College,67
B,6,Robert Lippincott '14,Salve Regina University,75
B,7,Brad Carvalho '15,University of Rhode Island,90
B,8,Henry O'Brien '15,University of Vermont,96
B,9,Sarah Fuller '16,University of Connecticut,103
B,10,Conor Fowler '14,Boston University,115
B,11,Conor Lodge '14,Northeastern University,125
B,12,Edward Moan '14,Bates College,136
B,13,Tristan Janowicz '16,Providence College,139
B,14,Whit Durant '12 *,University of New Hampshire,157
B,15,Ben King '14,Maine Maritime Academy,166
B,16,Priscilla Stoll '15,Massachusetts Maritime Academy,173
B,17,Peter Chambers '15,Worcester Polytechnic Institute,199
