Division,Placement,Skipper,Team,Total Score
B,1,Cameron Fraser '14,Boston University,51
B,2,Kaylee Schwitzer '15,Bowdoin College,57
B,3,Robert Lippincott '14,Salve Regina University,61
B,4,Dan Nickerson '15,Tufts University,63
B,5,A. Tucker Atterbury '16,Roger Williams University,74
B,6,Ryan Schmitz '15,Boston College,77
B,7,Kayla Ellis '16,U. S. Coast Guard Academy,80
B,8,Charles Nunn '16,University of Rhode Island,82
B,9,Bryce Kopp '16,Connecticut College,84
B,10,Conor Lodge '14,Northeastern University,91
B,11,Henry O'Brien '15,University of Vermont,91
B,12,Hollister Poole '15,Maine Maritime Academy,95
B,13,Nathan Allman '16,Brown University,110
B,14,Sarah Fuller '16,University of Connecticut,128
B,15,Terry Duncan '15,Middlebury College,128
B,16,William Dykes '15,University of New Hampshire,143
B,17,Charles Cahill '15,Massachusetts Maritime Academy,159
B,18,Lewis Fowler-Gerace '15,Wesleyan University,160
B,19,Claire Chambers '15,Providence College,166
