Division,Placement,Skipper,Team,Total Score
B,1,Connor Timmins '14,U. S. Naval Academy,30
B,2,Sean Golden '16,Georgetown University,32
B,3,Alexander Curtiss '16,St. Mary's College of Maryland,34
B,4,Daniel LOCHNER '15,Old Dominion University,40
B,5,Christopher Stessing '14,University of Virginia,43
B,6,Scott Guinn '15,William and Mary,81
B,7,Adam Keally '15,Fordham University,85
B,8,Daniel Montgomery '16,Old Dominion University,89
B,9,Evan Boliakis '14,George Washington University,93
B,10,Richard Ross '16,Christopher Newport University,98
B,11,Joshua Gopeesingh '14,Hampton University,122
B,12,Chris Modelewski '11,University of Maryland,125
B,13,George Uehling '15,Virginia Tech,135
B,14,Sarah Chase '16,Salisbury University,149
