Division,Placement,Skipper,Team,Total Score
A,1,Alec Anderson '13,Roger Williams University,73
A,2,Chris Barnard '13,Georgetown University,102
A,3,Oliver Toole '14,Stanford University,114
A,4,Dillon Paiva '13,Old Dominion University,123
A,5,Matthew Wefer '14,Dartmouth College,139
A,6,Michael Reindl '13,U. S. Naval Academy,151
A,7,Victor Diaz De Leon '14,St. Mary's College of Maryland,151
A,8,Andrew Sommer '13,Massachusetts Institute of Technology,157
A,9,Sam Fitzgerald '14,Washington College,165
A,10,Alex Cook '13,Boston College,169
A,11,Kevin Martland '14,Connecticut College,184
A,12,Bradley Milliken '14,U. S. Coast Guard Academy,193
A,13,Harry Scott '13,SUNY Maritime College,196
A,14,Gordon Wolcott '13,University of Virginia,206
A,15,Will Stocke '13,University of South Florida,215
A,16,Brian Drumm '15,Harvard University,222
A,17,Taylor Scheuermann '15,University of Miami,242
A,18,Michael Russom '13,University of Pennsylvania,277
