Division,Placement,Skipper,Team,Total Score
A,1,Adam Pokras '14,University of Hawaii,31
A,2,Gregory Dair '15,California State University Channel Islands,32
A,3,none,University of Washington,45
A,4,John Ortel '15,Stanford University,49
A,5,Philip Gordon '12,University of Oregon,52
A,6,Shane Young '14,California State University Long Beach,53
A,7,none,University of Southern California,78
A,8,none,University of California at Berkeley,81
A,9,none,University of Washington,85
A,10,Cameron Walsh '13,University of California at Santa Barbara,89
A,11,none,Santa Clara University,99
A,12,Madeline Kennedy '14,University of Hawaii,104
A,13,none,University of California at Irvine,108
A,14,none,Western Washington University,108
A,15,none,University of California at San Diego,112
A,16,none,University of California at Berkeley,130
A,17,Peter Bailey '15,University of California at Los Angeles,138
A,18,Ian Spilman '15,University of California at Santa Cruz,138
A,19,none,Western Washington University,139
A,20,Hanna Miller '15,California State University Monterey Bay,145
A,21,Scott Doyle '14,California Maritime Academy,149
A,22,Eliza Pearce '15,University of Oregon,150
A,23,none,Oregon State University,154
A,24,none,Cal Poly University S.L.O.,169
A,25,none,University of California at Davis,183
